index_número_registro,tipo_registro,núcleo_víctima,nombre_víctima,tipo_delito,fecha_registro,directa_indirecta,fecha_acuerdo_ministerial,carpeta_investigacion,numero_anexo,numero_recomendacion,nombre_recomendacion,fecha_emision_recomendacion,derechos_violados,clave_víctima,fecha_sentencia,expediente_judicial,AlfanúmericaRegistro
38,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
39,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
40,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
41,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
42,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
43,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
44,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
45,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
46,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
47,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
48,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
49,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
50,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
51,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
52,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
53,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
54,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
55,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
56,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
57,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
58,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
59,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
60,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
61,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
62,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
63,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
64,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
65,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
66,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
67,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
68,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
69,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
70,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
71,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
72,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
73,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
74,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
75,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
76,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
77,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
78,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
79,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],24 de noviembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
80,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],24 de noviembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
81,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],24 de noviembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
82,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],24 de noviembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
83,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],24 de noviembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
84,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
85,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
86,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
87,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
88,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
89,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
90,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
91,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
92,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
93,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],21 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
94,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],31 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
95,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],31 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
96,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the violation of the right to movility and access to justice for not guaranteeing security [Example],31 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
97,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),On the right of women to a life free of obstetric violence [Example],31 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
98,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Use of psychological torture as research tool [Example],31 de octubre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
99,Violación DH,Name,Name,Type,dd de mm de yy,directa,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Torture as method of investigation in crimes of high impact [Example],17 de noviembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima indirecta {1:},NA,NA,NA
100,Violación DH,Name,Name,Type,dd de mm de yy,indirecta,dd de mm de yy,NA,Anexo {1:},{1:]/{yyyy),Deaths for violence in Penitentiary Centers [Example],24 de noviembre de 2022,"A) Violated righ one, B) Violated right two, C) Violated right three",víctima directa {1:},NA,NA,NA
